Argumenty i fakty,AIF,0204-0476
Znamia,ZNM,0132-862X
Zvezda,ZVD,0321-1878
Chekhoviana,CHX,
Dialog-OD,DLG,
Filosofskie issledovaniia,FIS,
Knizhnoe obozrenie,LISKNO,
Knizhnoe obozrenie PRO,LISKNP,
Literaturnaia ucheba,LIU,
Mezhdunarodnyi zhurnal sotsial'nykh nauk,MZH,
Mirovaia energeticheskaia politika,WEP,
Nauchnaia kniga,NKN,
Nauka v Rossii,NVR,
Nekrasovskii sbornik,NSB,0132-7291
NG. Ex libris,EXL,
NG. Kollektsii,KOL,
NG. Nauka,NGC,
NG. Religii,NRL,
Oktiabr',OCT,
Politicheskii klass,PKL,
Rossiia I Evropa,RIE,
Russian Analytica,RAN,
Russkaia istoriia,RIS,
Science in Russia,SIR,
Biulleten' mezhdunarodnykh dogovorov,BMD,0869-6705
Biulleten' Schetnoi palaty Rossiiskoi Federatsii,BSP,
Federal'nye konstitutsionnye zakony,FKZ,
Federal'nye zakony,FDZ,
Gosudarstvennaia Duma.  Dnevnik zasedanii,AGN,
Gosudarstvennaia Duma. Postanovleniia,PST,
Gosudarstvennaia Duma. Povestka zasedanii Soveta Dumy,PSD,
Gosudarstvennaia Duma. Programma zakonoproektnoi raboty komitetov,PZR,
Gosudarstvennaia Duma. Rezul'taty poimennogo golosovaniia,VOT,
Gosudarstvennaia Duma. Stenogramma zasedanii,VRT,
Gosudarstvo i pravo,GIP,0132-0769
Konstitutsionnyi sud. Opredeleniia,OKS,
Konstitutsionnyi sud. Postanovleniia,PKS,
Parlamentskaia gazeta,PGA,
Pravitel'stvo. Postanovleniia,PPR,
Pravitel'stvo. Rasporiazheniia,RPV,
Pravo. Zhurnal Vysshei shkoly ekonomiki,PRZV,
Prezident. Poslaniia,PSP,
Prezident. Rasporiazheniia,RPZ,
Prezident. Ukazy,UKP,
Rossiiskaia Federatsiia segodnia,RFS,0236-0918
Rossiiskaia khronika Evropeiskogo Suda,RHES,2500-0810
Sovet Federatsii. Dnevnik zasedanii,DSF,
Sovet Federatsii. Obrashcheniia,OSF,
Sovet Federatsii. Postanovleniia,PSF,
Sovet Federatsii. Stenogrammy zasedanii,SSF,
Sovet Federatsii. Zaiavleniia,ZSF,
Sud'ia,SUD,1817-8170
Vestnik ekonomicheskogo pravosudiia Rossiiskoi Federatsii,VAS,0869-7426
Vestnik Tsentral'noi izbiratel'noi komissii RF,CIK,
Vlast',VLA,2071-5358
Zakon,ZKN,0869-4400
Diplomaticheskii vestnik,DIV,
Gosudarstvennaia Duma. Otklonennye federal'nye zakony,OTZ,
Gosudarstvennaia Duma. Parlamentskie slushaniia,PSL,
Gosudarstvennaia Duma. Zaiavleniia i obrashcheniia po voprosam vneshnei politiki,ZMP,
Gosudarstvennaia Duma. Zakonoproekty,ZGD,
Kodeksy Rossiiskoi Federatsii,KRF,
Konstitutsionnyi sud. Resheniia,RKS,
Rossiiskaia iustitsiia,ROU,
Soiuznoe Veche,SVE,
Sud'ia RF,SRF,
Anesteziologiia i reanimatologiia,MEDAIR,0201-7563
Annaly khirurgii,MEDANL,1560-9502
Arkhiv akusherstva i ginekologii im. V.F. Snegireva,MEDAIG,2313-8726
Aterotromboz,MEDATS,2307-1109
Detskaia khirurgiia,MEDDEH,1560-9510
Detskie infektsii,DEIN,2072-8107
Epidemiologiia i infektsionnye bolezni,MEDEIB,1560-9529
Epidemiologiia i infektsionnye bolezni. Aktual'nye voprosy,EPID,2226-6976
Farmateka,FARM,2073-4034
Farmatsiia,MEDFAR,0367-3014
"Fizioterapiia, bal'neologiia i reabilitatsiia",MEDFBR,1688-3456
Gematologiia i transfuziologiia,MEDGIT,0234-5730
Gigiena i sanitariia,MEDGIS,0016-9900
Immunologiia,MEDIMN,0206-4952
Infektsionnye bolezni,MEDINB,1729-9225
Klinicheskaia laboratornaia diagnostika,MEDKLD,0869-2084
Klinicheskaia meditsina,MEDKLM,0023-2149
Klinicheskaia nefrologiia,KNEF,2075-3594
Mediko-sotsial'naia ekspertiza i reabilitatsiia,MEDMSE,1560-9537
Meditsinskaia sestra,MEDSES,0025-8342
Meditsinskii sovet,MEDMSV,2079-7028
"Molekuliarnaia genetika, mikrobiologiia i virusologiia",MEDMGM,0208-0613
Pediatriia. Zhurnal im. G. N. Speranskogo,MEDPDT,0031-403X
"Problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny",MEDPSG,0869-866X
Psikhologicheskii zhurnal,PZH,0205-9592
Remedium,MEDRMD,1561-5936
Rossiiskaia pediatricheskaia oftal'mologiia,MEDRPO,1993-1859
Rossiiskie apteki,MEDRAP,
Rossiiskii meditsinskii zhurnal,MEDRMZ,0869-2106
Rossiiskii nevrologicheskii zhurnal,MEDNEZ,2658-7947
Rossiiskii onkologicheskii zhurnal,MEDROZ,1028-9984
Rossiiskii pediatricheskii zhurnal,MEDRPZ,
Rossiiskii stomatologicheskii zhurnal,MEDRSZ,1560-9553
Rossiiskii zhurnal kozhnykh i venericheskikh boleznei,MEDKVB,1560-9588
Sotsiologiia meditsiny,MEDSCM,1728-2810
Terapiia,TERP,2412-4036
Urologiia,UROL,1728-2985
Voprosy detskoi dietologii,MEDVDD,1727-5784
"Voprosy ginekologii, akusherstva i perinatologii",MEDVGA,1726-1678
Voprosy prakticheskoi pediatrii,MEDVPP,1817-7646
Voprosy virusologii,MEDVVR ,0507-4088
Vrach,MEDVRA,0236-3054
Zdravookhranenie Rossiiskoi Federatsii,MEDZRF,0044-197X
"Zhurnal mikrobiologii, epidemiologii i immunobiologii",MEDMEI,0372-9311
Biozashchita i biobezopasnost',BIB,
Dezinfektsiia. Antiseptika,DEZ ,
Eksperimental'naia i klinicheskaia dermatokosmetologiia,MEDKOS,1990-4908
"Infektsii, peredavaemye polovym putem",MEDIPP,1561-4077
Meditsinskii sovet v poliklinike,MEDMSP,
Nanotekhnologii i okhrana zdorov'ia,NOZ,
Prikladnaia analiticheskaia khimiia,SATPAH,
Prikladnaia toksikologiia,PTK,
Regionarnaia anesteziia i lechenie ostroi boli,MEDRAB,1993-6508
"Russkii zhurnal SPID, rak i obshchestvennoe zdorov'e",MEDSPD,1815-154X
Voprosy gematologii/onkologii i immunopatologii v pediatrii,MEDVGO,1726-1708
Zhizn' bez opasnostei. Zdorov'e. Profilaktika. Dolgoletie,ZBO,
Aerokosmicheskoe obozrenie,AKOB,1726-8516
Aerospace Review,AERE,
Armeiskii sbornik,ASB,1560-036X
Army & Navy Review,ANRW,
Arsenal Otechestva,AROT,2587-9952
Atomnaia energiia,ATE,0004-7163
Atomnaia strategiia,ATOS,
Aviakosmicheskaia i ekologicheskaia meditsina,AEM,0233-528X
AviaSoiuz,AVI,
Aviatsiia i kosmonavtika,AIK,1682-7759
Boevaia vakhta,BVH,
Defense & Security,DSE,
Field Air Defense Compendium by National Arsenal,FDCN,
Flag Rodiny,FRO,
Izvestiia Rossiiskoi akademii raketnykh i artilleriiskikh nauk,IRARAN,2075-3608
Kaspiets,KSP,
Krasnaia zvezda,KZV,0023-4559
Kryl'ia Rodiny,KRR,0130-2701
Material'no-tehnicheskoe obespechenie Vooruzhennyh Sil Rossiiskoi Federatsii,MVS,
Morskoi pekhotinets,MOPE,
Morskoi sbornik,MRS,0134-9236
Na strazhe Rodiny,NSR,
Na strazhe Zapoliar'ia,NSZ,
National Arsenal,NARL,
Natsional'naia oborona,NAO,1992-0563
Nezavisimoe voennoe obozrenie,NVO,1810-1674
Oborona Rossii,OBRO,
Obozrenie armii i flota,OAF,1818-3417
Rossiiskoe voennoe obozrenie,RVO,
Shchit i mech,SCH,0236-3496
Strategicheskie prioritety,STPR,2311-925X
Strazh Baltiki,SBT,
Suvorovskii natisk,SVN,
Tekhnika i vooruzhenie,TIV,1682-7597
Tikhookeanskaia vakhta,TVH,
Ural'skie voennye vesti,UVV,
Vestnik Akademii voennykh nauk,VAN,2073-8641
Vestnik voennogo obrazovaniia,VEVO,2500-3704
Vestnik voennogo prava,VVPR,2541-7622
Veteran Vooruzhennykh Sil RF,VVSR,
Voennaia mysl',VMS,0236-2058
Voenno-istoricheskii zhurnal,VIZ,0321-0626
Voenno-meditsinskii zhurnal,VMZ,0026-9050
Voenno-strategicheskii analiz,VSAN,2411-1244
Voennye komissariaty Rossii,VKOR,
Voennyi vestnik Iuga Rossii,VYR,
Voin Rossii,VRS ,0134-8140
Vooruzhenie i ekonomika,VOEK,2071-0151
Voprosy oboronnoi tekhniki. Seriia 16. Tekhnicheskie sredstva protivodeistviia terrorizmu,VOT16,2306-1456
Vozdushno-kosmicheskaia sfera,VKO,2587-7992
VPK. Voenno-promyshlennyi kur'er,VPK,1729-3928
Zarubezhnoe voennoe obozrenie,ZVO,0134-921X
