Argumenty i fakty,AIF,0204-0476
Sotsial'no-ekonomicheskoe polozhenie Privolzhskogo federal'nogo okruga,STATSEPPRF,
Sotsial'no-ekonomicheskoe polozhenie Rossii,STATSEP,
Sotsial'no-ekonomicheskoe polozhenie Severo-Kavkazskogo federal'nogo okruga,STATSEPKZF,
Sotsial'no-ekonomicheskoe polozhenie Severo-Zapadnogo federal'nogo okruga,STATSEPSZF,
Sotsial'no-ekonomicheskoe polozhenie Sibirskogo federal'nogo okruga,STATSEPSFO,
Sotsial'no-ekonomicheskoe polozhenie stran Sodruzhestva Nezavisimykh Gosudarstv,STATSEPSNG,
Sotsial'no-ekonomicheskoe polozhenie Tsentral'nogo federal'nogo okruga,STATSEPCFO,
Sotsial'no-ekonomicheskoe polozhenie Ural'skogo federal'nogo okruga,STATSEPYRF,
Sotsial'nye indikatory stran SNG i otdel'nykh stran mira. Social indicators of the CIS and other countries of the world,STATSISM,
Statisticheskoe obozrenie,STATSORU,
STATISTIKA O ZhIZNI LIUDEI S INVALIDNOST'IU V STRANAKh SODRUZhESTVA NEZAVISIMYKh GOSUDARSTV (STATISTIChESKII SBORNIK),STATZLISNG,
Statistika SNG. Statisticheskii biulleten',STATBUL,
Stroitel'stvo v Rossii,STATSTRROS,
Sviaz' v stranakh SNG,STATSVSNG,
Torgovlia v Rossii,STATTORGRO,
Transport v Rossii,STATTRROS,
Trud i zaniatost' v Rossii,STATTRZANR,
Tseny v Rossii,STATCENROS,
Tseny v stranakh SNG i otdel'nykh stranakh mira. Prices in the CIS and other countries of the world,STATCENSNG,
Vneshniaia torgovlia stran SNG i ES (kratkii statisticheskii sbornik). Foreign trade of the CIS and EU countries (pocketbook),STATVTSNGK,
Vneshniaia torgovlia stran Sodruzhestva Nezavisimykh Gosudarstv (statisticheskii sbornik predvaritel'nykh itogov). External Trade of the Countries of the Commonwealth of Independent States (statistical abstract of preliminary results),STATVTSSNG,
Vneshniaia torgovlia stran Sodruzhestva Nezavisimykh Gosudarstv (statisticheskii sbornik). External Trade of the Countries of the Commonwealth of Independent States (statistical abstract),STATVTSNG,
Voprosy statistiki,STATVOPST,2313-6383
Zdravookhranenie v Rossii,STATZDRROS,
Zhenshchiny i muzhchiny Rossii,STATZHM,
Zhilishchnoe khoziaistvo v Rossii,STATZHHROS,
"""Gruppa vos'mi"" v tsifrakh ",STATGVC,
Agropromyshlennyi kompleks Rossii,STATAGRPR,
Azerbaidzhan i Rossiia,STATAZER,
"Chislennost' naseleniia Rossiiskoi Federatsii po gorodam, poselkam gorodskogo tipa i raionam",STATCHGPR,
Deti v stranakh Sodruzhestva Nezavisimykh Gosudarstv. _hildren in the countries of the Commonwealth of Independent States,STATDSNG,
Ekonomicheskaia aktivnost' naseleniia Rossii,STATEAN,
Maloe predprinimatel'stvo v Rossii,STATMPR,
Metodologicheskie polozheniia po statistike,STATMPS,
Mezhdunarodnye sopostavleniia valovogo vnutrennego produkta,STATMSVVP,
Naselenie stran SNG i otdel'nykh stran mira. Population of the CIS and other countries of the wold,STATNASSTM,
Obsledovanie naseleniia po problemam zaniatosti,STATOBNAS,
Okruzhaiushchaia sreda v Sodruzhestve Nezavisimykh Gosudarstv. Environment in the countries of the Commonwealth of Independent States,STATOKSSN,
Osnovnye pokazateli investitsionnoi i stroitel'noi deiatel'nosti v Rossiiskoi Federatsii,STATOPKIS,
Osnovnye pokazateli sel'skogo khoziaistva v Rossii,STATOPSEL,
Osnovnye pokazateli transportnoi deiatel'nosti v Rossii. Main Indicators of Transport Performances in Russia,STATOPTDR,
Osnovnye polozheniia o poriadke nabliudeniia za potrebitel'skimi tsenami i tarifami na tovary i platnye uslugi i opredeleniia indeksa potrebitel'skikh tsen,STATOPPNPS,
Predpolozhitel'naia chislennost' naseleniia Rossiiskoi Federatsii do 2025 goda,STATPCHN,
Predpolozhitel'naia chislennost' naseleniia Rossiiskoi Federatsii do 2030 goda,STATPCHNRF,
Prodovol'stvennyi rynok Rossii,STATPRR,
Rossiia,STATROS,
Rossiia i strany Sodruzhestva Nezavisimykh Gosudarstv,STATROSSNG,
Russia in Figures,STATRVC,
Rynok truda v stranakh Sodruzhestva Nezavisimykh Gosudarstv. Labour market in the countries of the Commonwealth of Independent States,STATRTSNG,
Sel'skoe khoziaistvo v stranakh Sodruzhestva. Agriculture of the Commonwealth,STATSHSNG,
"Sel'skoe khoziaistvo, okhota i lesovodstvo v Rossii",STATSHOL,
Sem'ia v Rossii,STATSEMROS,
Sodruzhestvo Nezavisimykh Gosudarstv (kratkii statisticheskikii sbornik),STATSNGKSB,
Sotsial'no-ekonomicheskoe polozhenie Krymskogo federal'nogo okruga,STATSEPKFO,
Statisticheskii biulleten',STATBULACV,
Sviaz' v Rossii,STATSVZROS,
Transport i sviaz' stran Sodruzhestva Nezavisimykh Gosudarstv,CISTRSVSNGN,
Transport i sviaz' v Rossii,STATTRSVR,
Transport stran SNG i ES. Transport of the CIS and EU countries,STATTRSNES,
Turizm v tsifrakh,STATTVC,
Zhilishchnoe khoziaistvo i bytovoe obsluzhivanie naseleniia v Rossii,STATZHBOR,
Defense Express. English Version,DEE,
Defense Express. Ukrainian/Russian Version,DEJ,
Defense Express. Weekly Newswire,DEX,
Demokratychna Ukraina,DADEU,
Den',DAYUK,
Dnepr vechernii,UKRDNV,
Holos Ukrainy,GUK,
Kalendar znamennykh i pam'iatnykh dat,KPD,0130-2043
Khreshchatyk Kyiv,UKRHRE,
Korrespondent,"	KOR",2305-3364
Krymskaia pravda,KRP,
Krymskie izvestiia,KRIZV,
Literaturna Ukraina,LUK,
Molod' Ukrainy,MOU,
Narodna Armiia,NAA,
Odes'ki visti,UKROVI,
Rabochaia gazeta,RAG,0233-4305
Slava Sevastopolia,SLS,
Slobids'kyi krai,SLOK,
Ukrai'na moloda,UKRUMO,
Ukrains'kyi istorychnyi zhurnal,"	UIZ",0130-5247
Uriadovyi kur'ier,UKRURK,
Vechernii Khar'kov,VKH,
Vidomosti Verkhovnoi Rady Ukrainy,VVR,0320-7978
Zerkalo nedeli (web versiia),"	ZEN",
Delovaia Ukraina,DUK,
Donbass,DNB,
Donetsk vechernii,"	DOV",
Ekonomika. Ekonomichni nauky,ENN,
"Kommersant""",KOM,
Krymskii kontekst,KRK,
L'vivs'ka hazeta,LVG,
Politics and the Times,POE,0868-8273
Polityka. Politychni nauky,PON,
Pravda Ukrainy,PRUK,
Robitnycha hazeta,ROG,
Vechirnii Kyiv,VKY,
Zapiski Obshchestva geoekologov,ZOG,
Zerkalo nedeli,ZNE,
Zovnishni spravy,"	POC",0868-8273
Druk Ukrainy,DRU,
Litopys avtoreferativ dysertatsii,LAV,
Litopys hazetnykh statei,LGS,0130-917X
Litopys kartografichnykh vydan',LKI,
Litopys knyh,LKN,0130-9196
Litopys not,LNO,0130-0914
Litopys obrazotvorchykh vydan',LOI,0136-0906
Litopys zhurnal'nykh statei,LZS,0130-9188
Visnyk Knyzhkovoi palaty,VKN,
Litopys retsenzii,LRE,0130-9250
Novi vydannia Ukrainy,NVU,0136-0933
Balansy ta spozhyvannja osnovnyh produktiv harchuvannja naselennjam Ukrai'ny,USTBSOPHNU,
Chysel'nist' najavnogo naselennja Ukrai'ny,USTCHNNU,
Dijal'nist' pidpryjemstv sfery poslug,USTDPSP,
Dijal'nist' sub�jektiv gospodarjuvannja. Activity of business entities,USTDSG,
Dijal'nist' sub�jektiv malogo pidpryjemnyctva. Activity of small enterprises,USTDSMP,
Dovkillja Ukrai'ny,USTDDUKR,
Dovkillja Ukrai'ny. Environment of Ukraine,USTZDUKR,
"Eksport, import i tranzyt vantazhiv v Ukrai'ni",USTEITVU,
Indeksy fizychnogo obsjagu rozdribnogo tovarooborotu pidpryjemstv za tovarnymy grupamy,USTIFORTP,
Indeksy spozhyvchyh cin. Consumer price indices,USTISC,
Investycii' zovnishn'oekonomichnoi' dijal'nosti (statystychnyj bjuleten'),USTBIZD,
Investycii' zovnishn'oekonomichnoi' dijal'nosti (statystychnyj zbirnyk),USTZIZD,
Kapital'ni investycii' v Ukrai'ni (statystychnyj bjuleten'),USTBKIU,
Kapital'ni investycii' v Ukrai'ni (statystychnyj zbirnyk),USTZKIU,
Kupivlja material'no-tehnichnyh resursiv dlja vyrobnychyh potreb sil's'kogospodars'kymy pidpryjemstvamy,USTKMTRVPS,
Kvartal'ni rozrahunky valovogo vnutrishn'ogo produktu Ukrai'ny. Quarterly gross domestic product estimates of Ukraine,USTKRVVPU,
Merezha rozdribnoi' torgivli ta restorannogo gospodarstva pidpryjemstv,USTMRTRGP,
Nacional'ni rahunky Ukrai'ny,USTBNRU,
Nacional'ni rahunky Ukrai'ny. National Accounts of Ukraine,USTZNRU,
Nadhodzhennja produkcii' tvarynnyctva na pererobni pidpryjemstva,USTNPTPP,
Nadhodzhennja ta osvojennja investycij u special'nyh (vil'nyh) ekonomichnyh zonah ta na terytorijah priorytetnogo rozvytku Ukrai'ny za investycijnymy proektamy,USTNOISEZT,
"Najavnist' i nadhodzhennja zernovyh ta olijnyh kul'tur na pidpryjemstva, shho zajmajut'sja i'h zberigannjam ta pererobkoju",USTNNZOKPZ,
Najavnist' i vykorystannja torgovoi' merezhi na rynkah,USTNVTMR,
Najavnist' sil's'kogospodars'koi' tehniky ta energetychnyh potuzhnostej u sil's'komu gospodarstvi,USTNSTEPSG,
"Najavnist' ta osnovni pokaznyky roboty sporud dlja pryjmannja, propusku, vidvedennja ta ochyshhennja stichnyh vod",USTNOPRSPP,
Naselennja Ukrai'ny,USTNAUK,
Obsjagy prodazhu ta ciny osnovnyh sil's'kogospodars'kyh produktiv na mis'kyh rynkah (za vybirkovym kolom mist),USTOPCOSPM,
Osnovni ekonomichni pokaznyky vyrobnyctva produkcii' sil's'kogo gospodarstva v sil's'kogospodars'kyh pidpryjemstvah,USTOEPVPSG,
Osnovni pokaznyky dijal'nosti vyshhyh navchal'nyh zakladiv Ukrai'ny,USTOPDVNZU,
Osnovni pokaznyky sil's'kogospodars'koi' dijal'nosti domogospodarstv u sil's'kij miscevosti. Main indicators of agricultural activity of households in rural area,USTOPSDDSM,
Osnovni sil's'kogospodars'ki harakterystyky domogospodarstv u sil's'kij miscevosti. Main agricultural characteristics of households in rural area,USTOSHDSM,
Ozdorovlennja ditej u dytjachyh zakladah ozdorovlennja ta vidpochynku vlitku,USTODDZOVV,
Palyvno-energetychni resursy Ukrai'ny,USTPERU,
Pererobka vantazhiv u mors'kyh (richkovyh) portah (prychalah) Ukrai'ny (dopovid'),USTDPVMPU,
Pererobka vantazhiv u mors'kyh (richkovyh) portah (prychalah) Ukrai'ny (statystychnyj bjuleten'),USTBPVMPU,
Posivni ploshhi sil's'kogospodars'kyh kul'tur pid urozhaj,USTPPSKPU,
Pracja Ukrai'ny,USTPRCUK,
Pro osnovni pokaznyky roboty gazovogo gospodarstva Ukrai'ny,USTPOPRGGU,
Pro osnovni pokaznyky roboty opaljuval'nyh kotelen' i teplovyh merezh Ukrai'ny,USTPOPROKT,
Pro osnovni pokaznyky roboty vodoprovidnogo gospodarstva Ukrai'ny,USTPOPRVGU,
Pro social'no-ekonomichne stanovyshhe Ukrai'ny,USTPSESU,
Prodazh i zapasy tovariv (produkcii') v optovij torgivli,USTPZTOT,
Prodazh i zapasy tovariv u torgovij merezhi ta merezhi restorannogo gospodarstva. Tom I,USTPZTTMMA,
Prodazh i zapasy tovariv u torgovij merezhi ta merezhi restorannogo gospodarstva. Tom II,USTPZTTMMB,
Prodazh i zapasy tovariv u torgovij merezhi ta merezhi restorannogo gospodarstva. Tom III,USTPZTTMMC,
Pryjnjattja v ekspluataciju ob'jektiv social'noi' sfery ta okremyh vyrobnychyh potuzhnostej v Ukrai'ni,USTPEOSS,
Pryjnjattja v ekspluataciju zhytla v Ukrai'ni,USTPEZU,
Realizacija produkcii' sil's'kogospodars'kymy pidpryjemstvamy,USTRPSP,
"Rezul'taty vykorystannja kotel'no-pichnogo palyva, teploenergii' ta elektroenergii'",USTRVKPPTE,
Roslynnyctvo Ukrai'ny. Animal production of Ukraine,USTROUK,
Rozdribna torgivlja Ukrai'ny. Retail trade of Ukraine,USTRTU,
Rozpodil postijnogo naselennja Ukrai'ny za stattju ta vikom,USTRPNUSV,
Rynok praci,USTRYPR,
Samoocinka domogospodarstvamy Ukrai'ny rivnja svoi'h dohodiv. Ukraine Households Self-Perceived of Their Income,USTSDURSD,
Sil's'ke gospodarstvo Ukrai'ny,USTDSGU,
Sil's'ke gospodarstvo Ukrai'ny. Agriculture of Ukraine,USTZSGU,
Social'no-demografichni harakterystyky domogospodarstv Ukrai'ny (dopovid'),USTDSDHDU,
Social'no-demografichni harakterystyky domogospodarstv Ukrai'ny. Social and Demographic Characteristics of Households of Ukraine,USTZSDHDU,
Spivrobitnyctvo mizh Ukrai'noju ta krai'namy JeS,USTBSMUKES,
Spivrobitnyctvo mizh Ukrai'noju ta krai'namy JeS. Cooperation between Ukraine and EU countries,USTZSMUKES,
Stan budivel' ta sporud nezavershenogo budivnyctva,USTSBSNB,
Stan i rozvytok zv�jazku v Ukrai'ni,USTSRZU,
Stan tvarynnyctva v Ukrai'ni,USTSTU,
Statystychnyj bjuleten',USTASBUL,
Statystychnyj bjuleten' _1,USTSBULA,
Statystychnyj bjuleten' _2,USTSBULB,
Transport i zv�jazok v Ukrai'ni,USTTZU,
Tvarynnyctvo Ukrai'ny,USTTVUK,
Ukrai'na,USTUKR,
Ukrai'na ta krai'ny SND. Ukraine and the CIS Countries,USTUKSND,
Ukrai'na u cyfrah,USTUCYF,
Valova produkcija sil's'kogo gospodarstva Ukrai'ny,USTBVPSGU,
Vedennja myslyvs'kogo gospodarstva,USTVMG,
Vnesennja mineral'nyh ta organichnyh dobryv pid urozhaj sil's'kogospodars'kyh kul'tur,USTVMODPUS,
Vykorystannja informacijno-komunikacijnyh tehnologij na pidpryjemstvah Ukrai'ny,USTVIKTPU,
Vykydy zabrudnjujuchyh rechovyn ta parnykovyh gaziv u atmosferne povitrja vid stacionarnyh dzherel zabrudnennja,USTVZRPGDZ,
Vykydy zabrudnjujuchyh rechovyn ta parnykovyh gaziv u atmosferu vid peresuvnyh dzherel,USTVZRPGAP,
Vyrobnyctvo i spozhyvannja elektroenergii' ta okremi tehniko-ekonomichni pokaznyky roboty elektrostancij v Ukrai'ni. Production of electricity and selected technical and economic indicators of power plants activity in Ukraine,USTVSEOTEP,
Vyrobnyctvo promyslovoi' produkcii' za vydamy v Ukrai'ni,USTVPPVU,
Vytraty i resursy domogospodarstv Ukrai'ny,USTBVRDU,
Vytraty i resursy domogospodarstv Ukrai'ny (za danymy vybirkovogo obstezhennja umov zhyttja domogospodarstv),USTDVRDU,
Vytraty i resursy domogospodarstv Ukrai'ny. Expenditure and resources of households of Ukraine,USTZVRDU,
Zagal'noosvitni navchal'ni zaklady Ukrai'ny,USTZNZU,
Zalyshky ta vykorystannja energetychnyh materialiv ta produktiv pereroblennja nafty,USTZVEMPPN,
Zapovidnyky ta nacional'ni pryrodni parky Ukrai'ny,USTZNPPU,
"Zbyrannja urozhaju sil's'kogospodars'kyh kul'tur, plodiv, jagid ta vynogradu v regionah Ukrai'ny",USTZUSKRU,
Zbyrannja vrozhaju sil's'kogospodars'kyh kul'tur ta provedennja inshyh pol'ovyh robit,USTZVSKPIP,
Zovnishnia torgivlia Ukraini. Vneshniaia torgovlia Ukrainy. Ukraine�s foreign trade,USTZTU,
Zovnishnja torgivlja Ukrai'ny tovaramy ta poslugamy (I tom),USTZTUTPI,
Zovnishnja torgivlja Ukrai'ny tovaramy ta poslugamy (II tom),USTZTUTPII,
Diplomaticheskaia panorama,DTPR,
Novosti Interfaksa,NIFAX,
Prezidentskii vestnik,PDVK,
Voennye novosti,VONOV,
VPK Rossii i eksport oruzhiia,VPKREO,
AP Expert ,APE,
AP-BLITZ. Tajikistan News,APB,
AzerNews,AZN,
Delovoi Kazakhstan,DEKZ,1995-588X
Farazh,FAR,
Iuzhnaia Osetiia,"	UZH",
Kazakhstanskaia pravda,"	KAP",
"Messenger, The",MES,
Narodnoe slovo (web version),NSLN,2010-8877
Neitral'nyi Turkmenistan,NET,
Novoe vremia,"	NOW",1829-2151
Pravda Vostoka,PRAVDV,
Respublika Abkhaziia,"	RAB",
Respublika Armeniia,"	REA",1829-2098
Slovo Kyrgyzstana,SLK,1694-5492
Svobodnaia Gruziia (web version),SVGR,
"Times of Central Asia, The",TCA,
Tsentral'naia Aziia i Kavkaz,"	CAC",1403-7068
Turkmenistan,"	TYR",
T�rkmenistan,TRKM,
Vechernii Tashkent,VECHT,
Almanac Uzbekistan,UZBAUZ,2091-511X
Al'manakh Uzbekistan,UZBALU,2091-5101
Almanakh Uzbekiston,UZBUAU,2091-5098
Biznes&Vlast',BIVL,
Ekho,EHO,
Ekonomicheskoe obozrenie,"	UZBEKB",
Ekonomika Uzbekistana,UZBEKU,2091-5063
Ekspert Kazakhstan,EKK,2072-9839
Megapolis,MKZ,
Narodnoe slovo (archive),NSL,
Pravo. Ekonomika. Politika. Kul'tura,"	PPK",
Priural'e,PRUR,
Respublika,"	RSB",
Samarkandskii vestnik,SAVE,2010-6726
SEZ,SEZ,
Svobodnaia Gruziia,SGR,
Tadzhikistan: ekonomicheskii rakurs,TAER,
Uzbekistan Economic Trends,UZBUET,2091-5071
Uzbekistan Today (English),"	UZTEN",2010-6971
Uzbekistan Today (Russian),UZT,
Uzbekiston Iktisodieti,UZBEUZ,2091-5047
Zerkalo,ZRL,
"Baltic Times, The",TBT,1407-2300
Den',DAYRUS,
Litovskii kur'er,LIK,1648-2816
Logos-Press. Ekonomicheskoe obozrenie,"	LPR",
"Minsk Times, The",MIT,1991-2978
Moldavskie vedomosti,MOV,
Narodnaia gazeta,NAG,1029-9033
Postimees,PTM,1406-0981
SB. Belarus' segodnia,"	SBEN",1992-3058
Segodnia,DASEG,1407-4699
Soiuz Belarus' - Rossiia,SBR,
BDG. Delovaia gazeta,BDG,
Belarus' v mire/Belarus' in the World,BVM,
Biznes & Baltiia,BBA,1407-3021
Delovaia Ukraina,"	DUK",
Edinaia Gagauziia,EGA,
Ekho Litvy,"	ELI",
Molodezh' Estonii,MOE,1406-247X
Nezavisimaia Moldova,NEM,1857-1824
NG. Sodruzhestvo,SOD,
Pravda Ukrainy,PUK,
Vechirnii Kyiv,VKY,
Zerkalo nedeli,"	ZNE",
"Current Digest of the Chinese Press, The",CDC,2162-2558
"Current Digest of the Russian Press, The ",DSP,2159-3612
Far Eastern Affairs,FEA,0206-149X
"Geography, Environment, Sustainability",GES,2071-9388
International Affairs,IAF,0130-9641
Military Thought,MTH,0869-5636
Social Sciences,SSC,0134-5486
Chinese Cultural Relics,CCR,2330-5169
Contemporary International Relations,CIR,1003-3408
